session_date,user_id,visits,pageviews,transactions,revenue,device,country
2016-08-19,6314382205896179631,1,15,,,desktop,United States
2016-08-19,6033983136147159594,1,14,,,desktop,United States
2016-08-19,3041133261614133977,1,19,,,desktop,United States
2016-08-19,5798857737254906662,1,14,,,desktop,United States
2016-08-19,2603258232396033810,1,15,,,desktop,Switzerland
2016-08-19,708033509620826351,1,16,1,54.82,desktop,United States
2016-08-19,412359842650934288,1,19,,,mobile,United States
2016-08-19,3351427368750825586,1,16,,,desktop,Czechia
2016-08-19,462278727471279697,1,12,,,mobile,United States
2016-08-19,9574265107331927814,1,17,,,desktop,United States
2016-08-19,7087040782161371015,1,16,,,desktop,United States
2016-08-19,0150038807203175716,1,15,,,desktop,United States
2016-08-19,2120739286981065717,1,19,1,15.09,desktop,United States
2016-08-19,3328557368775692395,1,14,,,desktop,United States
2016-08-19,103742272011485658,1,18,,,desktop,United States
2016-08-19,4315082810654170792,1,17,,,desktop,Indonesia
2016-08-19,7041907630751654454,1,8,,,desktop,Venezuela
2016-08-19,1561609512125916549,1,17,,,desktop,United States
2016-08-19,1443969723403088575,1,12,,,mobile,Germany
2016-08-19,589967396396729491,1,16,,,desktop,United States
2016-08-19,4384958085906354897,1,15,,,desktop,United States
2016-08-19,0834742932399567015,1,16,,,desktop,United States
2016-08-19,9851114368060604284,1,15,,,desktop,United States
2016-08-19,3244885836845029978,1,15,,,desktop,United States
2016-08-19,2508504179305994751,1,22,,,desktop,Czechia
2016-08-19,6475197248759014741,1,14,,,desktop,Brazil
2016-08-19,4904345009175675441,1,20,1,49.49,desktop,United States
2016-08-19,295425735705361337,1,18,,,desktop,United States
2016-08-19,854026052576480945,1,16,,,desktop,Germany
2016-08-19,1801713680919151738,1,17,,,desktop,Philippines
2016-08-19,1301740467892138739,1,13,,,desktop,United States
2016-08-19,4587300217226571258,1,20,,,desktop,United States
2016-08-19,2884357066356851097,1,19,,,mobile,United States
2016-08-19,6886524709363380034,1,17,,,desktop,United States
2016-08-19,4247166522958870103,1,19,,,desktop,United States
2016-08-19,5711370172085140937,1,14,,,desktop,United States
2016-08-19,6855487989933365375,1,22,,,mobile,United States
2016-08-19,9995297294402010452,1,24,,,desktop,Italy
2016-08-19,7546905943937433106,1,15,,,desktop,United States
2016-08-19,1173741382897769362,1,18,,,desktop,Canada
2016-08-19,5756208439960248003,1,20,1,84.39,desktop,United States
2016-08-19,091281264079346677,1,17,1,21.62,mobile,United States
2016-08-19,5554993516246010445,1,18,,,desktop,United States
2016-08-19,9696443332645012607,1,23,,,mobile,United States
2016-08-19,7961608357930888686,1,19,,,desktop,Italy
2016-08-19,3029326010969063453,1,21,1,57.89,desktop,United States
2016-08-19,6817220325980493863,1,20,1,23.18,desktop,United States
2016-08-19,0962401172167245841,1,23,,,desktop,United States
2016-08-19,9306364905671958731,1,23,,,desktop,United States
2016-08-19,4040286063616542963,1,18,,,mobile,United States
2016-08-19,1055437900983878659,1,13,,,mobile,Brazil
2016-08-19,7887384873382723412,1,18,,,desktop,United States
2016-08-19,5711370172085140937,1,17,,,desktop,United States
2016-08-19,8623452188249826507,1,23,1,55.04,desktop,United States
2016-08-19,9595845851851270257,1,15,,,desktop,United States
2016-08-19,9152155335060859016,1,21,1,44.93,desktop,United States
2016-08-19,2682621848379666369,1,24,,,desktop,United States
