session_date,user_id,visits,pageviews,transactions,revenue,device,country
2017-01-08,952065793269357665,1,2,,,desktop,Germany
2017-01-08,2877296901500979951,1,2,,,mobile,United States
2017-01-08,6622525260126217929,1,2,,,tablet,Italy
2017-01-08,8163359008486758260,1,2,,,desktop,Germany
2017-01-08,1780224391725083787,1,2,,,desktop,United States
2017-01-08,1411831734140652947,1,2,,,mobile,Mexico
2017-01-08,8360012766025316933,1,3,,,mobile,United States
2017-01-08,7519901426307301280,1,4,,,mobile,United States
2017-01-08,9324355761989553598,1,5,,,desktop,Romania
2017-01-08,9103006365237780581,1,6,,,desktop,United States
2017-01-08,2080364197050998617,1,5,,,desktop,United States
2017-01-08,4551216463049429076,1,9,,,mobile,Japan
2017-01-08,0863583406876678592,1,9,,,desktop,United States
2017-01-08,6432665857519646095,1,6,,,mobile,India
2017-01-08,6057514514568110127,1,8,,,desktop,Singapore
2017-01-08,0124918344806522210,1,12,,,mobile,India
2017-01-08,2059085496315387350,1,12,,,desktop,United States
2017-01-08,32557933577222334,1,18,,,desktop,United States
2017-01-08,199372328838179522,1,24,,,desktop,Canada
2017-01-08,8605493841027452857,1,1,,,tablet,France
2017-01-08,7394909603753670671,1,1,,,desktop,Indonesia
2017-01-08,8391012656997539364,1,1,,,mobile,Myanmar (Burma)
2017-01-08,0977800867954812545,1,1,,,desktop,Malaysia
2017-01-08,9885753344273228897,1,1,,,desktop,Germany
2017-01-08,1075372119191771481,1,1,,,desktop,Japan
2017-01-08,4156050329332208505,1,1,,,desktop,Russia
2017-01-08,918508236458676039,1,1,,,desktop,United States
2017-01-08,9534537897118577344,1,1,,,desktop,Japan
2017-01-08,4853933726755530305,1,1,,,tablet,United States
2017-01-08,0199080087100840726,1,1,,,mobile,Switzerland
2017-01-08,2808743971360357389,1,1,,,desktop,New Zealand
2017-01-08,27122605191693468,1,1,,,desktop,United States
2017-01-08,284777318452379037,1,1,,,desktop,Latvia
2017-01-08,4789532199911198751,1,1,,,mobile,France
2017-01-08,4707824985691239587,1,1,,,mobile,India
2017-01-08,6805394112026581854,1,1,,,tablet,Netherlands
2017-01-30,1670466673859775279,1,15,,,mobile,United States
2017-01-30,9058571716026280138,1,13,,,desktop,United States
2017-01-30,9093363280493368870,1,1,,,desktop,United States
2017-01-30,2053174049878705782,1,1,,,desktop,Germany
2017-01-30,9439367936268485248,1,1,,,desktop,United States
2017-01-30,7947194778292098798,1,1,,,desktop,Italy
2017-01-30,5737436014782378412,1,1,,,mobile,Mexico
2017-01-30,0239760977191878337,1,1,,,desktop,Portugal
2017-01-30,3278250169795966542,1,1,,,desktop,Spain
2017-01-30,9581875251847603466,1,1,,,desktop,France
2017-01-30,6592407832755988126,1,1,,,desktop,Lithuania
2017-01-30,2563898344571307694,1,1,,,mobile,Colombia
2017-01-30,027853144311968348,1,1,,,desktop,India
2017-01-30,265200111560176106,1,1,,,desktop,United States
2017-01-30,1773428135637796903,1,1,,,desktop,United States
2017-01-30,7923097545515530602,1,1,,,desktop,United States
2017-01-30,386976404866769953,1,1,,,tablet,United Kingdom
2017-01-30,5163925131458457927,1,1,,,desktop,United States
2017-01-30,0978233185922354375,1,1,,,mobile,India
2017-01-30,888613363143923006,1,1,,,desktop,United Kingdom
2017-01-30,2771114233425606287,1,1,,,desktop,Russia
2017-01-30,9750359467582730949,1,1,,,desktop,United States
2017-01-30,3579557621141378713,1,1,,,desktop,United States
2017-01-30,716240157027095661,1,1,,,desktop,Ukraine
2017-01-30,3138979756256115379,1,1,,,desktop,Russia
2017-01-30,9377861221939788213,1,1,,,desktop,Brazil
2017-01-30,2556874881584168126,1,1,,,desktop,Philippines
2017-01-30,3518362433721759288,1,1,,,mobile,United States
2017-01-30,2283844106147088693,1,1,,,desktop,Brazil
2017-01-30,7693370790743108123,1,1,,,desktop,United States
2017-01-30,8543070534077227734,1,1,,,desktop,India
2017-01-30,3778460823904114089,1,2,,,desktop,United States
2017-01-30,6880266223247509824,1,2,,,desktop,United States
2017-01-30,9120824385701823315,1,2,,,desktop,India
2017-01-30,1297253328962947376,1,2,,,desktop,United States
2017-01-30,5155934120062246603,1,2,,,desktop,United States
2017-01-30,9739708862480063193,1,2,,,desktop,United States
