session_date,user_id,visits,pageviews,transactions,revenue,device,country
2016-11-05,4666941291900250396,1,1,,,desktop,Sri Lanka
2016-11-05,3345305300582178703,1,1,,,desktop,Egypt
2016-11-05,5780418090130943498,1,1,,,desktop,Jordan
2016-11-05,2300733976284994366,1,1,,,desktop,Georgia
2016-11-05,9084731084752250581,1,1,,,desktop,Ukraine
2016-11-05,3516594727770031342,1,1,,,desktop,Azerbaijan
2016-11-05,0748314933848852115,1,1,,,desktop,Thailand
2016-11-05,698588325641735847,1,1,,,desktop,Thailand
2016-11-05,6394597041701931484,1,1,,,desktop,Thailand
2016-11-05,615600012440206309,1,1,,,desktop,Thailand
2016-11-05,6078264285058039717,1,1,,,desktop,Thailand
2016-11-05,5129082717567608197,1,1,,,desktop,Vietnam
2016-11-05,6659755322532356193,1,1,,,desktop,Vietnam
2016-11-05,9072115902733635656,1,1,,,desktop,Thailand
2016-11-05,4832293922916722429,1,1,,,desktop,Romania
2016-11-05,2742308131444766492,1,1,,,desktop,Vietnam
2016-11-05,0777672744365340164,1,1,,,desktop,Vietnam
2016-11-05,5831002596512129143,1,1,,,desktop,Vietnam
2016-11-05,7246841009410179499,1,1,,,desktop,Serbia
2016-11-05,0276480666071658842,1,1,,,desktop,Romania
2016-11-05,2329387922331744206,1,1,,,desktop,Vietnam
2016-11-05,4075865023163133019,1,1,,,mobile,Denmark
2016-11-05,9891980568142142465,1,1,,,desktop,Bulgaria
2016-11-05,9790182603054136291,1,1,,,desktop,Japan
2016-11-05,9679777326152014373,1,1,,,desktop,Turkey
2016-11-05,5816279455134439356,1,1,,,desktop,Mexico
2016-11-05,4865618158892087616,1,1,,,tablet,Japan
2016-11-05,6280687544078573605,1,1,,,desktop,Turkey
2016-11-05,9901279467573341437,1,1,,,desktop,Brazil
2016-11-05,6305036620746620665,1,1,,,tablet,United States
2016-11-05,5666331908960250467,1,1,,,desktop,India
2016-11-05,7875419455458603862,1,1,,,tablet,United States
2016-11-05,1176583314008183111,1,1,,,mobile,United States
2016-11-05,9836960635615433731,1,1,,,desktop,Germany
2016-11-05,8727700931268885596,1,2,,,desktop,Bulgaria
2016-11-05,4235410085824070249,1,2,,,desktop,Qatar
2016-11-05,3900043587884007568,1,2,,,desktop,Azerbaijan
2016-11-05,0778045500397180793,1,2,,,desktop,Peru
2016-11-05,1813396589799323448,1,2,,,desktop,Thailand
2016-11-05,2087288516066052801,1,2,,,desktop,Thailand
2016-11-05,2311542905742720132,1,2,,,desktop,Thailand
2016-11-05,585744514123863905,1,2,,,desktop,Vietnam
2016-11-05,4511351463593506332,1,2,,,desktop,Vietnam
2016-11-05,5807425564227488128,1,2,,,desktop,Vietnam
2016-11-05,6383036107106152664,1,2,,,desktop,Philippines
2016-11-05,1071182566878457999,1,2,,,desktop,Philippines
2016-11-05,844995087142261741,1,2,,,desktop,Philippines
2016-11-05,4490955076461878536,1,2,,,desktop,Taiwan
2016-11-05,9250529716213566474,1,2,,,desktop,Italy
2016-11-05,1341016258151115063,1,3,,,desktop,Slovakia
2016-11-05,5611624154336318857,1,3,,,desktop,Guatemala
2016-11-05,2675959470681518771,1,3,,,mobile,United States
2016-11-05,8034441884808329227,1,3,,,desktop,United Kingdom
2016-11-05,2781684348958797275,1,2,,,desktop,United States
2016-11-05,3228019801625697952,1,4,,,desktop,Vietnam
2016-11-05,5970818380864517803,1,4,,,mobile,Germany
2016-11-05,578935900272034898,1,3,,,desktop,Philippines
2016-11-05,2801105872771278347,1,7,,,desktop,United States
2016-11-05,388343163704932601,1,6,,,mobile,United States
2016-11-05,938527505682819004,1,9,,,desktop,United States
2016-11-05,0303007731415880280,1,23,,,desktop,United States
2016-11-05,8429653225633075806,1,43,1,78.96,desktop,United States
2016-11-01,0882756052028551211,1,1,,,desktop,Greece
2016-11-01,4080660182454315126,1,1,,,desktop,Portugal
2016-11-01,6050882059599199750,1,1,,,desktop,Ecuador
2016-11-01,3601744465920986596,1,1,,,desktop,Thailand
2016-11-01,409927608958578640,1,1,,,desktop,Thailand
2016-11-01,383517065751940427,1,1,,,desktop,Thailand
2016-11-01,9062045831146557145,1,1,,,desktop,Thailand
2016-11-01,4707783725429144192,1,1,,,desktop,Vietnam
2016-11-01,6876721439615299799,1,1,,,desktop,Vietnam
2016-11-01,6342024679269363311,1,1,,,desktop,Vietnam
2016-11-01,018239960829182700,1,1,,,desktop,Vietnam
2016-11-01,9346981250599876043,1,1,,,desktop,Vietnam
2016-11-01,6874461581371560745,1,1,,,desktop,Peru
2016-11-01,9320491557165803488,1,1,,,desktop,Vietnam
2016-11-01,9438101022951480949,1,1,,,desktop,Macedonia (FYROM)
2016-11-01,999561324493608054,1,1,,,desktop,Vietnam
2016-11-01,3950676747970995320,1,1,,,desktop,United Arab Emirates
2016-11-01,8341737688378401472,1,1,,,desktop,Georgia
2016-11-01,9084782319558438794,1,1,,,desktop,Thailand
2016-11-01,7643887627832413677,1,1,,,desktop,Taiwan
2016-11-01,808988642961212253,1,1,,,desktop,Spain
2016-11-01,5063810698475273,1,1,,,desktop,Australia
2016-11-01,4930155200099944042,1,1,,,desktop,Poland
2016-11-01,2420631016622601976,1,1,,,desktop,Japan
2016-11-01,0284712430745912754,1,1,,,desktop,Taiwan
2016-11-01,6996475306095239115,1,1,,,desktop,Indonesia
2016-11-01,3457299323226954808,1,1,,,mobile,Netherlands
2016-11-01,3509897580183383483,1,1,,,desktop,Netherlands
2016-11-01,5629695313608487382,1,1,,,desktop,United States
2016-11-01,675458867972682212,1,1,,,desktop,United States
2016-11-01,2529619970233929392,1,1,,,desktop,United States
2016-11-01,228931636295793566,1,1,,,desktop,United Kingdom
2016-11-01,7078221350235732367,1,1,,,desktop,Mexico
2016-11-01,6944389025788614408,1,1,,,desktop,Russia
2016-11-01,2873645362705045468,1,1,,,desktop,Russia
2016-11-01,4604327781696985260,1,1,,,desktop,Turkey
2016-11-01,9603827393228175864,1,1,,,desktop,India
2016-11-01,9667279886049466297,1,1,,,desktop,India
2016-11-01,4748015065893149401,1,1,,,desktop,Brazil
2016-11-01,2112184729088121386,1,1,,,desktop,Brazil
2016-11-01,2847422332015389828,1,1,,,desktop,United States
2016-11-01,5721136187543892729,1,1,,,desktop,Indonesia
2016-11-01,5587511849712047533,1,1,,,desktop,India
2016-11-01,0570519133714549546,1,1,,,desktop,Georgia
2016-11-01,3711296242014666488,1,1,,,desktop,United States
2016-11-01,367556738619428646,1,2,,,desktop,Germany
2016-11-01,3257256011904957038,1,2,,,desktop,Tunisia
2016-11-01,2423296346417027014,1,2,,,desktop,Vietnam
2016-11-01,2842851070796167446,1,2,,,desktop,Vietnam
2016-11-01,2848962317601343486,1,2,,,desktop,Vietnam
2016-11-01,3238164456953630660,1,2,,,desktop,Bosnia & Herzegovina
2016-11-01,1793962517811972342,1,1,,,desktop,Macedonia (FYROM)
2016-11-01,4501591766183535715,1,2,,,desktop,Brazil
2016-11-01,2152682812682840539,1,2,,,desktop,Indonesia
2016-11-01,7881321490821510171,1,2,,,desktop,Indonesia
2016-11-01,1390654682671903575,1,2,,,desktop,Iceland
2016-11-01,9983090608648451403,1,2,,,desktop,United States
2016-11-01,8787936541015910854,1,3,,,desktop,Canada
2016-11-01,3673545136646875348,1,3,,,desktop,United States
2016-11-01,2826117184534822892,1,3,,,desktop,Turkey
2016-11-01,8368144013129541738,1,2,,,desktop,United States
2016-11-01,203148339691365402,1,2,,,desktop,Brazil
2016-11-01,1834193035734542804,1,2,,,desktop,United States
2016-11-01,2473528122586624544,1,3,,,desktop,United States
2016-11-01,2876128844524169838,1,5,,,desktop,United States
2016-11-01,0388823916093838948,1,5,,,desktop,United States
2016-11-01,2292108483348448508,1,6,,,mobile,United States
2016-11-01,1480311877127336013,1,6,,,desktop,United States
2016-11-01,9113476023477170361,1,6,,,mobile,United States
2016-11-01,213465488216513322,1,7,,,desktop,United States
2016-11-01,5771446334148321720,1,7,,,desktop,Hong Kong
2016-11-01,8791616119093714573,1,9,,,desktop,Canada
2016-11-01,3586589413016238546,1,9,,,mobile,United States
2016-11-01,9436837449787488865,1,8,,,desktop,New Zealand
2016-11-01,6328257656694722477,1,9,,,desktop,Taiwan
2016-11-01,1983426354808997762,1,13,,,desktop,United States
2016-11-01,2737176962931841660,1,25,,,desktop,United States
2016-11-01,4330850068263503403,1,23,,,mobile,United States
2016-11-07,6278147906633575997,1,2,,,desktop,United States
2016-11-07,9132830544625839584,1,4,,,mobile,Germany
2016-11-07,8294997939918180127,1,3,,,tablet,Italy
2016-11-07,5615596146143818370,1,3,,,desktop,United States
2016-11-07,973980442593622878,1,4,,,desktop,United States
2016-11-07,4232569158955691650,1,5,,,desktop,United States
2016-11-07,8758051752797786019,1,3,,,desktop,Ireland
2016-11-07,2773216167322949918,1,6,,,desktop,United States
2016-11-07,5535496642345204440,1,8,,,mobile,United States
2016-11-07,0562289741722554779,1,7,,,desktop,France
2016-11-07,279269805502595998,1,9,,,mobile,South Korea
2016-11-07,7858310990215564460,1,9,,,desktop,United States
2016-11-07,2580458346873132168,1,8,,,mobile,United States
2016-11-07,7411575894776700230,1,10,,,desktop,Netherlands
2016-11-07,5689429889651900724,1,10,,,desktop,United States
2016-11-07,5972468163034098276,1,23,1,70.38,desktop,United States
2016-11-07,4898242646829161158,1,67,,,desktop,United States
2016-11-07,4327888175006823507,1,88,,,desktop,United States
2016-11-07,5845405487654135819,1,3,,,mobile,Bangladesh
2016-11-07,3422732698934198242,1,4,,,desktop,Vietnam
2016-11-07,7939213367478794488,1,4,,,desktop,United States
2016-11-07,2621206683445858889,1,1,,,tablet,United Kingdom
2016-11-07,5526745400855287782,1,1,,,desktop,Israel
2016-11-07,0912867691473435841,1,1,,,desktop,Chile
2016-11-07,5073968246590755428,1,1,,,desktop,Bulgaria
2016-11-07,8544764326495477418,1,1,,,desktop,Algeria
2016-11-07,170889014854412559,1,1,,,desktop,Thailand
2016-11-07,0986180056226037023,1,1,,,desktop,Thailand
